trial_type,workspace,trial_name,agent_name,model,milestone_id,milestone_order,grading_status
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M025,10,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M018,11,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M001.2,12,graded
e2e,dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,M003.3,13,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M003.1,1,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M004,2,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M006,3,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M011,4,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M016.1,5,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M017,6,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M019,7,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M018,8,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M025,9,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M003.2,10,non_graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M001.1,11,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M003.3,12,graded
e2e,dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,M001.2,13,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M003.1,1,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M004,2,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M003.2,3,non_graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M001.1,4,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M003.3,5,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M001.2,6,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M006,7,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M011,8,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M016.1,9,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M017,10,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M018,11,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M019,12,graded
e2e,dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,M025,13,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M003.1,1,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M004,2,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M003.2,3,non_graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M006,4,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M001.1,5,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M003.3,6,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M001.2,7,graded
e2e,dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,M011,8,graded
